Instance,Income
111994,18933.51303
111995,-38962.48787
111996,46737.69543
111997,169483.117
111998,2276.768342
111999,124616.5671
112000,108562.584
112001,78208.32773
112002,62129.07511
112003,97443.97543
112004,-47062.67737
112005,186318.8
112006,-41993.46545
112007,113709.0009
112008,304532.8894
112009,82916.31386
112010,48614.43657
112011,-2481.254302
112012,16701.42836
112013,65905.05659
112014,135199.3163
112015,11291.57867
112016,56892.92008
112017,-772.2036415
112018,221517.6566
112019,64028.64163
112020,-29607.44617
112021,-48827.66237
112022,91167.18884
112023,100151.05
112024,-44929.81856
112025,90264.20984
112026,80019.67783
112027,65178.42653
112028,5687.241902
112029,44001.01237
112030,181551.1044
112031,242310.0823
112032,214554.7993
112033,112930.9528
112034,422808.5456
112035,104081.8549
112036,171236.2952
112037,163663.8144
112038,197384.2433
112039,20013.57194
112040,83935.48154
112041,74881.26361
112042,61089.16672
112043,30760.47439
112044,42443.6124
112045,42350.41645
112046,284726.7524
112047,31358.48653
112048,-69393.74966
112049,107445.2716
112050,17664.43138
112051,56989.1024
112052,133194.1331
112053,185761.454
112054,99352.25374
112055,-30104.33739
112056,100718.606
112057,-19497.77466
112058,129305.1883
112059,1086.078674
112060,294901.5137
112061,165969.0213
112062,212094.2771
112063,75572.37238
112064,-23727.18905
112065,39790.42031
112066,12737.46842
112067,122773.2699
112068,141725.3876
112069,270496.4259
112070,339985.9282
112071,98806.98648
112072,111031.6382
112073,34755.01831
112074,27361.1665
112075,-16062.75264
112076,133457.8587
112077,735637.2879
112078,-18401.60715
112079,233903.3433
112080,141658.08
112081,575616.2205
112082,-20035.045
112083,94541.27605
112084,13238.58406
112085,58820.08233
112086,-8569.036117
112087,75321.99424
112088,113850.9353
112089,22994.84048
112090,187341.8871
112091,23301.2013
112092,11399.83882
112093,91258.97639
112094,-4860.700113
112095,-6256.871624
112096,150357.1951
112097,21783.71442
112098,-43841.66817
112099,52481.75308
112100,3818.698631
112101,320720.9999
112102,-6205.785285
112103,157888.1739
112104,65968.00192
112105,108558.1001
112106,120496.5498
112107,140941.1678
112108,97305.66817
112109,12487.68876
112110,88846.10023
112111,-10483.4847
112112,62127.56435
112113,70553.65236
112114,7112.31295
112115,22939.08726
112116,45275.85057
112117,115161.3235
112118,72809.41925
112119,52148.27657
112120,353651.6342
112121,129458.7589
112122,399196.7362
112123,345266.1629
112124,96764.14658
112125,175973.5549
112126,179552.84
112127,-16327.80622
112128,48367.42512
112129,117167.8989
112130,100819.8852
112131,108545.1527
112132,67234.95911
112133,257031.3932
112134,57511.36107
112135,-66485.57405
112136,28843.33116
112137,-15910.54747
112138,2876.604263
112139,59109.94408
112140,37133.07769
112141,33298.69005
112142,49755.53185
112143,263593.1669
112144,-52913.76737
112145,12242.54548
112146,86707.24755
112147,237678.1984
112148,81454.94841
112149,50539.78399
112150,-42000.91395
112151,248353.461
112152,144898.3305
112153,55375.16203
112154,107268.7572
112155,82182.61347
112156,141538.8172
112157,134042.108
112158,62512.34786
